Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,"Finchview Villa-AI of Monitoring Equipment Cancelled March 9, 2020",19-1763JP,AI,,100180,,,,01/01/2020,,,,$210.00,,,,,,10 Nelson Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Finchview Villa-Fire Alarm,19-1763JP,AI,,100180,,,,01/01/2020,,,,0,,,,,"FA,EOL",10 Nelson Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Campus Living Centres Inc. (1eleven Cooper) INVOICE CA/CS OTTAWA PROPERTY OWNER-Fire Alarm,19-1401,MI,,NA,,,,01/01/2020,,,,0,,,,,FA,111 Cooper Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Campus Living Centres Inc. (1eleven Cooper) INVOICE CA/CS OTTAWA PROPERTY OWNER-Fire Alarm,19-1401,AI,,NA,,,,01/01/2020,,,,"$7,260.00",,,,,"FA,LSA,MPS,EOL",111 Cooper Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Campus Living Centres Inc. (1eleven Cooper) INVOICE CA/CS OTTAWA PROPERTY OWNER-Route,19-1401,AI,,NA,,,,01/01/2020,,,,"$7,260.00",,,,,"FE,FHC",111 Cooper Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Route,17-1571,SAI,,100174,,,,01/01/2020,,,,$453.65,,,,,FLCS,"125 Sussex Drive, A9",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Route,17-1571,AI,,100174,,,,01/01/2020,,,,$453.65,,,,,FLCS,"125 Sussex Drive, A9",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Skyline Commercial Real Estate Holdings Inc.-Fire Alarm,,AI,,100121,,,,01/01/2020,,,,$0.00,,,,,FA,1283 Algoma Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,111007 Inc.-Fire Alarm,20-1379MT,AI,,NA,,,,01/01/2020,,,,$465.00,,,,,FA,1379 Bank Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,111007 Inc.-Route,20-1379MT,AI,,NA,,,,01/01/2020,,,,$465.00,,,,,"FE,ELU",1379 Bank Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"Huntington Properties (Cyrville Property LP)-6"" Wet Spr x 1 only Cancelled Feb 2020","Oct 5, 2018",QI,,NA,,,,01/01/2020,,,,$177.00,,,,,,1392 Cyrville  Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Huntington Properties (Cyrville Property LP)-Fire Alarm,"Oct 5, 2018",AI,,NA,,,,01/01/2020,,,,"$1,090.00",,,,,FA,1392 Cyrville  Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Huntington Properties (Cyrville Property LP)-Route,"Oct 5, 2018",AI,,NA,,,,01/01/2020,,,,"$1,090.00",,,,,"FE,ELU",1392 Cyrville  Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Greenboro Day Care Centre-Route,18-1048JP,SAI,,100480,,,,01/01/2020,,,,$285.00,,,,,FLCS,1400 Cahill Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Greenboro Day Care Centre-Fire Alarm,18-1048JP,AI,,100480,,,,01/01/2020,,,,$620.00,,,,,"FA,EOL",1400 Cahill Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Greenboro Day Care Centre-Route,18-1048JP,AI,,100480,,,,01/01/2020,,,,$620.00,,,,,"FE,ELU,FLCS",1400 Cahill Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Symphony Senior Living Memory Care-Fire Alarm,"Apr 17, 2019",MI/QI,,NA,,,,01/01/2020,,,,$0.00,,,,,FA,1510 St. Joseph Blvd.,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Symphony Senior Living Memory Care-Fire Alarm,"Apr 17, 2019",AI,,NA,,,,01/01/2020,,,,$0.00,,,,,FA,1510 St. Joseph Blvd.,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Symphony Senior Living Memory Care-Route,"Apr 17, 2019",AI,,NA,,,,01/01/2020,,,,$0.00,,,,,"FE,ELU,FLCS",1510 St. Joseph Blvd.,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Calfra Management (Invoice Emerald Plaza Inc.)-Fire Alarm,19-1427JP,AI,,NA,,,,01/01/2020,,,,"$12,250.00",,,,,"FA,EOL","1547 Merivale Road, Emerald Plaza",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Calfra Management (Invoice Emerald Plaza Inc.)-Route,19-1427JP,AI,,NA,,,,01/01/2020,,,,"$12,250.00",,,,,"FE,ELU,FHC","1547 Merivale Road, Emerald Plaza",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-NA,,,,100174,,,,01/01/2020,,,,$0.00,,,,,,160 Elgin,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-NA,,,,100174,,,,01/01/2020,,,,$0.00,,,,,,160 Elgin,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,SNC Lavalin Defence Programs Inc.-Monitoring Services ,18-0404-0001BS,MONITORING,,NA,,,,01/01/2020,,,,$672.00,,,,," Burglar cancelled March 31, 2020","170 Laurier Avenue West, Suite 1100",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Caparelli Residence-Monitoring Services ,,MONITORING,,NA,,,,01/01/2020,,,,$240.00,,,,, Intrusion,1740 Ortona,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
