Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,City of Cornwall-Monitoring Services ,,MONITORING,,100008,,,,01/01/2020,,,,$612.00,,,,, Intrusion,"100 Water Street, Civic Aquatic Centre",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"Cominar REIT-TENANT Preaction System X 2, Novec x 1",19-1115MM,,,100013,,,,01/01/2020,,,,0,,,,,,1000 Innovation Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"Agropur, Division Natrel-Route",10-1363,AI,,NA,,,,01/01/2020,,,,"$1,880.00",,,,,FHC,1001 Dairy Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Brookfield Johnson Controls-Route,10-1058,AI,,100954,,,,01/01/2020,,,,"$3,500.00",,,,,"FE,FHC",1010 Somerset St. (Warehouse),,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Route,19-1255JP,AI,,NA,,,,01/01/2020,,,,$136.00,,,,,ELU,10-40 Camelot Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Shepherds of Good Hope-Fire Alarm,18-1001JP-REV,AI,,100312,,,,01/01/2020,,,,$0.00,,,,,"FA,LSA,EOL",1053-1057 Merivale Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Shepherds of Good Hope-Route,18-1001JP-REV,AI,,100312,,,,01/01/2020,,,,$0.00,,,,,"FE,ELU,FHC",1053-1057 Merivale Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,CR4 Ottawa Flex Office Inc c/o Colliers International-Fire Alarm,19-1255JP,AI,,NA,,,,01/01/2020,,,,$160.00,,,,,"FA,EOL",106 Colonnade Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"CR4 Ottawa Flex Office Inc c/o Colliers International-Wet 8"" x 1, E/L, Exit Signs, F/E",19-1255JP,AI,,NA,,,,01/01/2020,,,,$142.00,,,,,,1140 Morrison Dr,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Uniform Developments and Leasing Ltd.-Fire Alarm,14-1225,AI,,NA,,,,01/01/2020,,,,$750.00,,,,,EOL,117 Centrepointe Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Paramount Properties-Fire Alarm,14-1775RS,AI,,100536,,,,01/01/2020,,,,$580.00,,,,,"FA,EOL",1177 Cummings Avenue,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Paramount Properties-Route,14-1775RS,AI,,100536,,,,01/01/2020,,,,$580.00,,,,,"FE,ELU",1177 Cummings Avenue,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Grimes Realty Co. Ltd.-Fire Alarm,13-1366,AI,,100693,,,,01/01/2020,,,,$620.00,,,,,"FA,LSA,EOL",1192-1218 Bank Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Grimes Realty Co. Ltd.-Route,13-1366,AI,,100693,,,,01/01/2020,,,,$620.00,,,,,FE,1192-1218 Bank Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"Calfra Management Limited-F/A, E/L, Ext AND FIRE DRILL",18-1286JP,AI,,NA,,,,01/01/2020,,,,$655.00,,,,,,"120 Promenade du Portage, Hull",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,City of Cornwall-Monitoring Services ,,MONITORING,,100008,,,,01/01/2020,,,,$204.00,,,,, Fire,"1225 Ontario Street, Municipal Works",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,City of Cornwall-Monitoring Services ,,MONITORING,,100008,,,,01/01/2020,,,,$204.00,,,,, Fire,"1246 Ontario Street, Purchasing",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Preaction System,17-1339JP OR 17-1569-REV,SAI,,100174,,,,01/01/2020,,,,"$1,387.20",,,,,,"125 Sussex Dr, 2nd Floor,TwrA, ISIC Room (Global A",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Preaction System,17-1569-REV,AI,,100174,,,,01/01/2020,,,,"$3,162.00",,,,,,"125 Sussex Dr, 2nd Floor,TwrA, ISIC Room (Global A",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Preaction System,17-1340JP,AI,,100174,,,,01/01/2020,,,,"$3,162.00",,,,,,"125 Sussex Drive, AG Server Rooms-Qty 20 (Shared S",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Preaction System,17-1340JP,SAI,,100174,,,,01/01/2020,,,,"$3,162.00",,,,,,"125 Sussex Drive, AG Server Rooms-Qty 20 (Shared S",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Route,17-1342JP,SAI,,100174,,,,01/01/2020,,,,0,,,,,FLCS,"125 Sussex Drive, Cafeteria",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Route,17-1342JP,AI,,100174,,,,01/01/2020,,,,"$3,025.90",,,,,FLCS,"125 Sussex Drive, Cafeteria",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Preaction System,17-1570-REV,AI,,100174,,,,01/01/2020,,,,"$1,407.60",,,,,,"125 Sussex Drive, EWRC, Library (Global Affairs)",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Preaction System,17-1570-REV,SAI,,100174,,,,01/01/2020,,,,"$1,407.60",,,,,,"125 Sussex Drive, EWRC, Library (Global Affairs)",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-FPFT x 2,14-1045,AI,,100174,,,,01/01/2020,,,,$0.00,,,,,,"125 Sussex Drive, Lester B. Pearson Bldg.",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Hydrants,14-1045,AI,,100174,,,,01/01/2020,,,,$388.00,,,,,,"125 Sussex Drive, Lester B. Pearson Bldg.",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Spr,14-1045,AI,,100174,,,,01/01/2020,,,,"$5,701.80",,,,,,"125 Sussex Drive, Lester B. Pearson Bldg.",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Route,17-1013,AI,,100174,,,,01/01/2020,,,,"$2,550.00",,,,,"FE,FHC","125 Sussex Drive, Lester B. Pearson Bldg.",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Morguard Investments Limited-Fire Alarm,15-1097,AI,,NA,,,,01/01/2020,,,,"$12,900.00",,,,,FA,131 Queen Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Morguard Investments Limited-Route,15-1097,AI,,NA,,,,01/01/2020,,,,"$12,900.00",,,,,"FE,FHC",131 Queen Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BLJC c/o CPC Contract-Route,07-1006,AI,,NA,,,,01/01/2020,,,,$375.00,,,,,FHC,"139, rue Racine, PO Gatineau",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Commerical Life Safety-Fire Alarm,10-1064,AI,,100071,,,,01/01/2020,,,,"$2,040.00",,,,,FA,1400 St. Laurent,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Commerical Life Safety-Route,10-1064,AI,,100071,,,,01/01/2020,,,,"$2,040.00",,,,,"FE,FHC,EL",1400 St. Laurent,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Brookfield Lepage Johnson Controls-Fire Alarm,10-1025,AI,,NA,,,,01/01/2020,,,,"$5,970.00",,,,,FA,141 Colonnade,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Brookfield Lepage Johnson Controls-Route,10-1025,AI,,NA,,,,01/01/2020,,,,"$5,970.00",,,,,"FE,ELU",141 Colonnade,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Canadian Bank Note Company Limited-Route,18-1696BS,SAI,,NA,,,,01/01/2020,,,,$0.00,,,,,FLCS,145 Richmond Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Holy Spirit Church-Fire Alarm,14-1234BS,AI,,100321,,,,01/01/2020,,,,$390.00,,,,,FA,1489 Shea Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"Uniform Developments and Leasing Ltd.-8"" Sprklr x 1, E/L, Ext",14-1225,AI,,NA,,,,01/01/2020,,,,$520.00,,,,,,151 Bentley Avenue,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Export Development Canada-MOVED TO NEW BLDG.. FA,11-1153,AI,,NA,,,,01/01/2020,,,,"$2,985.00",,,,,"EPO Shut Down, Special Ext Unit, FE. Wk","151 O'Connor, 251 Laurier",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Export Development Canada-Route,11-1153,SAI,,NA,,,,01/01/2020,,,,"$2,985.00",,,,,FE,151 O'Connor/251 Laurier,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Morguard Investments Limited-Route,13-1744-REV,AI,,NA,,,,01/01/2020,,,,$150.00,,,,,FE,"155 Queen St, 5th and 6th Floors",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Morguard Investments Limited-Fire Alarm,13-1744-REV,AI,,NA,,,,01/01/2020,,,,"$6,350.00",,,,,"FA,EOL",155 Queen Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Morguard Investments Limited-Route,13-1744-REV,AI,,NA,,,,01/01/2020,,,,"$6,350.00",,,,,"FE,FHC",155 Queen Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Morguard Investments Limited-Qty 4 for 12th Fl,13-1744-REV,AI,,NA,,,,01/01/2020,,,,$25.00,,,,,,"155 Queen Street, 12th Floor",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Telesat Canada-Route,18-1134,,,100325,,,,01/01/2020,,,,$300.00,,,,,FE,"1601 Telesat Court, Telesat Cda areas only",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Morguard Investments Limited-FM,18-1046C,AI,,NA,,,,01/01/2020,,,,"$2,040.00",,,,,200 Suppression System,"1601 Telesat, 3rd Floor, CPA",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Morguard Investments Limited-FM,18-1046C,SAI,,NA,,,,01/01/2020,,,,0,,,,,200 Suppression System,"1601 Telesat, 3rd Floor, CPA",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,PWGSC-Fire Alarm,Tender EJ196-19063,AI,,NA,,,,01/01/2020,,,,$487.50,,,,,FA,"1601 Telesat, CNSC, Bldg A, 3rd Fl",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,PWGSC-Route,Tender EJ196-19063,AI,,NA,,,,01/01/2020,,,,$487.50,,,,,FE,"1601 Telesat, CNSC, Bldg A, 3rd Fl",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Colonnade Management Inc.-Route,Tender,AI,,NA,,,,01/01/2020,,,,$0.00,,,,,"FE,ELU",162 Cleopatra Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"CR4 Ottawa Flex Office Inc c/o Colliers International-E/L, Exit Signs, Ext",19-1255JP,AI,,NA,,,,01/01/2020,,,,$140.00,,,,,,169 Colonnade Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Centurion Conference and Event Center-Route,19-1668JP,SAI,,NA,,,,01/01/2020,,,,$0.00,,,,,FLCS,170 Colonnade Road South,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Centurion Conference and Event Center-Fire Alarm,19-1668JP,AI,,NA,,,,01/01/2020,,,,"$1,600.00",,,,,"FA,EOL",170 Colonnade Road South,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Centurion Conference and Event Center-Route,19-1668JP,AI,,NA,,,,01/01/2020,,,,"$1,600.00",,,,,"FE,ELU,FLCS",170 Colonnade Road South,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Regional Group-Route,12-1466,AI,,NA,,,,01/01/2020,,,,$325.00,,,,,"FE,ELU",1737 Woodward Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,PrimeCorp-Monitoring Equipment,,AI,,NA,,,,01/01/2020,,,,$200.00,,,,," Sold Dec 10, 2019",1760 St. Laurent Blvd.,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,PrimeCorp-Monitoring Services ,,MONITORING,,NA,,,,01/01/2020,,,,$900.00,,,,, Sprinkler,1760 St. Laurent Blvd.,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,PrimeCorp-Fire Alarm,19-1677,AI,,NA,,,,01/01/2020,,,,$490.00,,,,,FA,1760 St. Laurent Blvd.,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,City of Cornwall-Monitoring Services ,,MONITORING,,100008,,,,01/01/2020,,,,$204.00,,,,, Fire,"1900 Montreal Road, Glen Stor Dun Lodge",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,CR4 Ottawa Flex Office Inc c/o Colliers International-Fire Alarm,19-1255JP,AI,,NA,,,,01/01/2020,,,,$160.00,,,,,"FA,EOL",20 Colonnade Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,CR4 Ottawa Flex Office Inc c/o Colliers International-Route,19-1255JP,AI,,NA,,,,01/01/2020,,,,$160.00,,,,,EL,20 Colonnade Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Shepherds of Good Hope-Monitoring Equipment AI cancelled as of February 29th,,AI,,100312,,,,01/01/2020,,,,0,,,,,,208 St. Andrew Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Shepherds of Good Hope-Monitoring Services ,,MONITORING,,100312,,,,01/01/2020,,,,$804.00,,,,," Fire cancelled as of February 29, 2020",208 St. Andrew Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
