ID,Legal Company Name,Local Address,Contact,Phone,Ext.,Fax,Cell,Email,Web page,SO#,Billing Address,City,Province,Postal Code,PO#,Site Address,CustomerCode,LocationCode,IsActive,Site Contact,Phone,Pager,Inspection Type,Price,Inspection Month,Inspection Quote #,Deficiency Quote #,Fire Protection Equipment,eftemp,Remarks,Field1,Field2
1885,Finchview Villa,10 Nelson Street,Francine Amyotte,(613) 984-2757,,(613) 984-1340,,finchviewvilla@gmail.com,,,10 Nelson Street,Finch,Ontario,K0C 1K0,,10 Nelson Street,,,TRUE,Francine Amyotte,(613) 984-2757,,AI,$210.00,,19-1763JP,,"AI of Monitoring Equipment Cancelled March 9, 2020","Newly installed in Nov, 2015. 2018 and 2019-$210.",,,
1872,Finchview Villa,10 Nelson Street,Francine Amyotte,(613) 984-2757,,(613) 984-1340,,finchviewvilla@gmail.com,,,10 Nelson Street,Finch,Ontario,K0C 1K0,,10 Nelson Street,,,TRUE,Francine Amyotte,(613) 984-2757,,AI,,,19-1763JP,,"FA, EOL's and 2"" Wet Spr x 2 off Domestic Cancelled March","FACP REPLACED OCT 2018 BY GS C/W LINEAR HEAT CABLE IN ATTIC. 1st time in 2017-Char/SR, 2days, 2018-NW/Pat-2 days. Elevator but no hydro. Pat Shallow (C-1-613-360-4552) must be present with 1 Secur tech. BRING 2 WALKIES.","2017 and 2018-$2025 for FA and $362 for spr, 2019-$2085 for FA and $370 for spr.",,
1472,City of Cornwall,,,,,,,,,,"Accounts Payable, PO Box 216",Cornwall,Ontario,K6H 5T9,,"100 Water Street, Civic Aquatic Centre",,,FALSE,,,,MONITORING,$612.00,,,,Monitoring Services - Intrusion,"LOST FEB 2017. May 1, 20?? To Apr 30, 20??. AI not required. 2 year contract May 1/14 to Apr 30/16 with 1 option year.",Account #38-01-5242,,
607,Cominar REIT,"222 Queen St., Ste 1402, Ottawa",Mary Jane Tripodi/Nahla Rajabi/Diane P (Nov 2019),(613) 234-4416,,(613) 234-5640,,,,,222 Queen Street Suite 300,Ottawa,Ontario,K1P 5V9,,1000 Innovation Drive,,,FALSE,Mike Herns,(613) 592-3685,,,,,19-1115MM,,"TENANT Preaction System X 2, Novec x 1",RESPONSIBILITY OF TENANTS AS OF JAN 2016. On Saturdays at 8AM-daytime in 2016. 2Entrustescorts required. Preaction systems located in MCR and ECS (Gatehouse - Secure area). COST INCLUDED IN AI PRICE. 1 new Novec system in MCR and Gatehouse.,"2008-2 techs, 7 hrs but no devices tested in ECS Room, no access, 2011-2 techs, 4 hrs, 2014 and 2015-5 techs, 4hrs.",,
120,"Agropur, Division Natrel","1001 Dairy Drive, Orleans, Ontario K4A 3N3",Marc Menard,(613) 834-5781,,(613) 834-4009,(613) 240-5116,,,,1001 Dairy Drive,Ottawa,Ontario,K4A 3N3,,1001 Dairy Drive,,,FALSE,Marc Menard,(613) 834-5781,(613) 368-1291,AI,"$1,880.00",,10-1363,,"F/A, Wet Spr, Dry Spr, Hydrants, FHC, E/L, Ext",LOST IN 2010. AI 2-tech 2 days Fri & Sat. only. Hydrant AI and bells on Sat. not connected to domestic water you must run water for 1hr after as not to affect milk production. Extra to contract $350.00.,"Require high access lift on site. For 2009-2 days only on Friday and Sat as per MT. 2008-$1780 + hydrants, 2009 and 2010-$1880 + hydrants. Marc.menard@agropur.natrel.ca",,
827,Brookfield Johnson Controls,588 Booth Street Room 304,David Delenardo,(613) 230-0725,,(613) 230-1747,,,,,588 Booth Street Room 304,Ottawa,Ontario,K1A 0E4,,1010 Somerset St. (Warehouse),,,FALSE,Christina Wittet,(613) 894-7205,,AI,"$3,500.00",,10-1058,,"FHC, FE",2010-Performed by others. 2008-DB took 2 days. Escort in Health Cda and Elect. Rooms with the proper keys. Sent quote in 2010 to Christina.Wittet@snclavalinom.com,"2008 and 2009-$3,340, 2010-$3500.",,
340,Colliers International (Invoice CanFirst Ottawa Properties Inc.),930-340 Albert Street,Oryst Deneka/Kate Collins,(613) 683-2223,,,,,www.colonnadedevelopment.com,,"250 Bloor Street East, 15th Floor",Toronto,Ontario,M4W 1E5,,10-40 Camelot Drive,,,FALSE,Sam,,,AI,$136.00,,19-1255JP,,"ELU, Exit Signs, Ext.","Cancelled Mar 31, 2020.TAKE KEY #55. 2017-JF-3hrs. Raise 3% each year. MUST BE SECURITY CLEARED.","12 monthly equal payments-2018-$132 ea, 2019-$136 ea.",,
1080,Shepherds of Good Hope,233 Murray Street,,(613) 688-2929,,(613) 789-0888,,,,,,,,,,1053-1057 Merivale Road,,,FALSE,Matthew Gibbon,(613) 688-2929,,AI,$0.00,,18-1001JP-REV,,"FA, EOL's, LSA's, 4"" Wet Spr x 1, FHC, ELU, FE's","2018 QUOTE SENT SEPT 2017-NO RESPONSE RECEIVED 2018. 2015 and 2016: 1053-$490&$150; 1053-$670&$150, 2017:1053-$505&$155; 1057-$690&$155, 2018-1053-$520&155, 1057-$710&$155. Enter units. 2016-TT/AM-2 days. 2017-TT/TO-2days. Bells 10AM on 2nd day.",1057 is monitored and 1057 is open 24/7. Elevator only at 1057. No hydro at 1053 or 1057. Superior inspects FLCS.,,)
330,CR4 Ottawa Flex Office Inc c/o Colliers International,930-340 Albert Street,Oryst Deneka/Kate Collins,(613) 683-2223,,,,,www.colonnadedevelopment.com,,"181 Bay St, Suite 1400",Toronto,Ontario,M4W 1E5,,106 Colonnade Road,,,FALSE,Eric Thouin,,,AI,$160.00,,19-1255JP,,"FA, EOL's, Wet 4"" Spr x 1, E/L, Exit Signs, Ext","Cancelled Mar 31. 2020. Elevator shaft. 2017-JC/Col-1 day, 2018-JC/TO-6hrs, 2019-JC/TO-6hrs and TP-2hrs. Bells at 8AM.  Raise 3% each year.","12 equal payments - 2018-$155 ea, 2019-$160 ea.",,
1858,Campus Living Centres Inc. (1eleven Cooper) INVOICE CA/CS OTTAWA PROPERTY OWNER,111 Cooper Street,Safae McLellan (May 2019),(613) 912-9800,,,(613) 762-6676,smclellan@1eleven.ca,,,111 Cooper Street,Ottawa,Ontario,K2P 2E3,,111 Cooper Street,,,TRUE,Khim Aranas,,,MI,,,19-1401,,"FA, Voice and Spr only","3rd Monday of the month, bells 10AM. SPR OUT OF CYCLE-Lots of FS's. Cost is $190 for FA, $170 for spr MI and $700 for spr BI. Cancelled January 7th, 2020",,,
