Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Morguard Investments Ltd.-Sprinkler,20-1086-7BS,AI,,100022,238103- Base Bldg,02/01/2021,02/01/2020,01/01/2021,,,,0.0,,,,,"SPR,WET,DRY",1601 Telesat Court,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Morguard Investments Ltd.-Fire Alarm,20-1086-7BS,AI,,100022,238103- Base Bldg,02/01/2021,02/01/2020,01/01/2021,,,,0.0,,,,,"FA,EOL",1601 Telesat Court,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Morguard Investments Ltd.-Route,20-1086-7BS,AI,,100022,238103- Base Bldg,02/01/2021,02/01/2020,01/01/2021,,,,0.0,,,,,"EL,FHC,FLCS,EXT",1601 Telesat Court,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Bronson Centre-Fire Alarm,20-1999JD,AI,,100068,,12/01/2021,12/01/2020,01/01/2021,,,,1470.0,,,,,FA,211 Bronson Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Bronson Centre-Route,20-1999JD,AI,,100068,,12/01/2021,12/01/2020,01/01/2021,,,,1470.0,,,,,"EL,FHC",211 Bronson Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Pepsico Canada Beverages-Sprinkler,18-1400-5yr contract,MI,,NA,,01/01/2021,01/01/2018,01/01/2021,,,,540.0,,,,,"FP,SPR,WET",869 Belfast Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Pepsico Canada Beverages-Route,18-1400-5yr contract,MI,,NA,,01/01/2021,01/01/2018,01/01/2021,,,,540.0,,,,,"EL,FHC",869 Belfast Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CUPW-Sprinkler,19-1760,MI,,100046,,01/01/2021,01/01/2019,01/01/2021,,,,280.0,,,,,"SPR,DRY",377 Bank Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CUPW-Fire Alarm,19-1760,MI,,100046,,01/01/2021,01/01/2019,01/01/2021,,,,280.0,,,,,FA,377 Bank Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CUPW-Route,19-1760,MI,,100046,,01/01/2021,01/01/2019,01/01/2021,,,,280.0,,,,,"EL,FHC",377 Bank Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
