Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Connelly Properties-Sprinkler,10-1364,AI,,NA,,,,01/01/2021,,,,1190.0,,,,,"SPR,WET",2487 Kaladar Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Connelly Properties-Route,10-1364,AI,,NA,,,,01/01/2021,,,,1190.0,,,,,EL,2487 Kaladar Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Connelly Properties-Sprinkler,10-1364,AI,,NA,,,,01/01/2021,,,,1190.0,,,,,"HYD,SPR,DRY",2491 Kaladar Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Connelly Properties-Route,10-1364,AI,,NA,,,,01/01/2021,,,,1190.0,,,,,EL,2491 Kaladar Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Uniform Developments and Leasing Ltd.-Sprinkler,14-1225,AI,,NA,,,,01/01/2021,,,,750.0,,,,,"SPR,WET,GLYCOL",117 Centrepointe Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Uniform Developments and Leasing Ltd.-Fire Alarm,14-1225,AI,,NA,,,,01/01/2021,,,,750.0,,,,,FA,117 Centrepointe Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Uniform Developments and Leasing Ltd.-Route,14-1225,AI,,NA,,,,01/01/2021,,,,750.0,,,,,EL,117 Centrepointe Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,SNC Lavalin O&M Inc.-Sprinkler,12-1106,MI,,NA,,01/01/2021,01/01/2012,01/01/2021,,,,3447.92,,,,,"FP,WET",235 Queen Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,SNC Lavalin O&M Inc.-Route,12-1106,MI,,NA,,01/01/2021,01/01/2012,01/01/2021,,,,3447.92,,,,,"FE,FHC",235 Queen Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Manor Park Management Inc.-Monitoring Services  Fire DVAC,,MONITORING,,100184,,,,01/01/2021,,,,792.0,,,,,,225 Wilbrod Street - Sans Souci Apts.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
