Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,AI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,400 CUMBERLAND STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,400 CUMBERLAND STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,400 CUMBERLAND STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,QI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,400 CUMBERLAND STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,400 CUMBERLAND STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,400 CUMBERLAND STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,QI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,400 CUMBERLAND STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,400 CUMBERLAND STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,400 CUMBERLAND STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,QI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,400 CUMBERLAND STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,400 CUMBERLAND STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,400 CUMBERLAND STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,130 SLATER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,130 SLATER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,130 SLATER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,130 SLATER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,AI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,130 SLATER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,130 SLATER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,130 SLATER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,130 SLATER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,130 SLATER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,130 SLATER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,130 SLATER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-DUNDEAL CANADA LIMITED PARTNERSHIP,15-1638MT,,MI,NA,,12/12/2021,12/12/2016,01/01/2022,,,,,,,,,,130 SLATER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-MAIN & MAIN DEVEL. C/O GOLD KEY PROPERTY,16-1466,,AI,NA,,05/02/2021,05/02/2019,01/01/2022,,,,,,,,,,216 ELGIN STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-SNELLING PAPER & SANITATION,17-1704,,AI,NA,,05/21/2021,05/21/2019,01/01/2022,,,,,,,,,,1410 TRIOLE STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-VIGI SANTE LTEE.,17-1840,,AI,NA,,05/21/2021,05/21/2019,01/01/2022,,,,,,,,,,"565, BLVD. DE L'HOPITAL",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inspections-VIGI SANTE LTEE.,17-1840,,SAI,NA,,05/21/2021,05/21/2019,01/01/2022,,,,,,,,,,"565, BLVD. DE L'HOPITAL",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
