Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,"100180-AI of Monitoring Equipment Cancelled March 9, 2020",19-1763JP,AI,,100180,,,,01/01/2020,,,,$210.00,,,,,,10 Nelson Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"100180-FA,EOL",19-1763JP,AI,,100180,,,,01/01/2020,,,,0,,,,,,10 Nelson Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,NA-FA,19-1401,MI,,NA,,,,01/01/2020,,,,0,,,,,,111 Cooper Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"NA-FA,LSA,MPS,EOL",19-1401,AI,,NA,,,,01/01/2020,,,,"$7,260.00",,,,,,111 Cooper Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"NA-FE,FHC",19-1401,AI,,NA,,,,01/01/2020,,,,"$7,260.00",,,,,,111 Cooper Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,100174-FLCS,17-1571,SAI,,100174,,,,01/01/2020,,,,$453.65,,,,,,"125 Sussex Drive, A9",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,100174-FLCS,17-1571,AI,,100174,,,,01/01/2020,,,,$453.65,,,,,,"125 Sussex Drive, A9",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,100121-FA,,AI,,100121,,,,01/01/2020,,,,$0.00,,,,,,1283 Algoma Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,NA-FA,20-1379MT,AI,,NA,,,,01/01/2020,,,,$465.00,,,,,,1379 Bank Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"NA-FE,ELU",20-1379MT,AI,,NA,,,,01/01/2020,,,,$465.00,,,,,,1379 Bank Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"NA-6"" Wet Spr x 1 only Cancelled Feb 2020","Oct 5, 2018",QI,,NA,,,,01/01/2020,,,,$177.00,,,,,,1392 Cyrville  Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,NA-FA,"Oct 5, 2018",AI,,NA,,,,01/01/2020,,,,"$1,090.00",,,,,,1392 Cyrville  Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"NA-FE,ELU","Oct 5, 2018",AI,,NA,,,,01/01/2020,,,,"$1,090.00",,,,,,1392 Cyrville  Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,100480-FLCS,18-1048JP,SAI,,100480,,,,01/01/2020,,,,$285.00,,,,,,1400 Cahill Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"100480-FA,EOL",18-1048JP,AI,,100480,,,,01/01/2020,,,,$620.00,,,,,,1400 Cahill Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"100480-FE,ELU,FLCS",18-1048JP,AI,,100480,,,,01/01/2020,,,,$620.00,,,,,,1400 Cahill Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,NA-FA,"Apr 17, 2019",MI/QI,,NA,,,,01/01/2020,,,,$0.00,,,,,,1510 St. Joseph Blvd.,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,NA-FA,"Apr 17, 2019",AI,,NA,,,,01/01/2020,,,,$0.00,,,,,,1510 St. Joseph Blvd.,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"NA-FE,ELU,FLCS","Apr 17, 2019",AI,,NA,,,,01/01/2020,,,,$0.00,,,,,,1510 St. Joseph Blvd.,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
