Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,100008-Monitoring Services - Intrusion,,MONITORING,,100008,,,,01/01/2020,,,,$612.00,,,,,,"100 Water Street, Civic Aquatic Centre",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"100013-TENANT Preaction System X 2, Novec x 1",19-1115MM,,,100013,,,,01/01/2020,,,,0,,,,,,1000 Innovation Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,NA-FHC,10-1363,AI,,NA,,,,01/01/2020,,,,"$1,880.00",,,,,,1001 Dairy Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"100954-FE,FHC",10-1058,AI,,100954,,,,01/01/2020,,,,"$3,500.00",,,,,,1010 Somerset St. (Warehouse),,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,NA-ELU,19-1255JP,AI,,NA,,,,01/01/2020,,,,$136.00,,,,,,10-40 Camelot Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"100312-FA,LSA,EOL",18-1001JP-REV,AI,,100312,,,,01/01/2020,,,,$0.00,,,,,,1053-1057 Merivale Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"100312-FE,ELU,FHC",18-1001JP-REV,AI,,100312,,,,01/01/2020,,,,$0.00,,,,,,1053-1057 Merivale Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"NA-FA,EOL",19-1255JP,AI,,NA,,,,01/01/2020,,,,$160.00,,,,,,106 Colonnade Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"NA-Wet 8"" x 1, E/L, Exit Signs, F/E",19-1255JP,AI,,NA,,,,01/01/2020,,,,$142.00,,,,,,1140 Morrison Dr,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,NA-EOL,14-1225,AI,,NA,,,,01/01/2020,,,,$750.00,,,,,,117 Centrepointe Drive,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"100536-FA,EOL",14-1775RS,AI,,100536,,,,01/01/2020,,,,$580.00,,,,,,1177 Cummings Avenue,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"100536-FE,ELU",14-1775RS,AI,,100536,,,,01/01/2020,,,,$580.00,,,,,,1177 Cummings Avenue,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"100693-FA,LSA,EOL",13-1366,AI,,100693,,,,01/01/2020,,,,$620.00,,,,,,1192-1218 Bank Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,100693-FE,13-1366,AI,,100693,,,,01/01/2020,,,,$620.00,,,,,,1192-1218 Bank Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,"NA-F/A, E/L, Ext AND FIRE DRILL",18-1286JP,AI,,NA,,,,01/01/2020,,,,$655.00,,,,,,"120 Promenade du Portage, Hull",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,100008-Monitoring Services - Fire,,MONITORING,,100008,,,,01/01/2020,,,,$204.00,,,,,,"1225 Ontario Street, Municipal Works",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,100008-Monitoring Services - Fire,,MONITORING,,100008,,,,01/01/2020,,,,$204.00,,,,,,"1246 Ontario Street, Purchasing",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,100174-Preaction System,17-1339JP OR 17-1569-REV,SAI,,100174,,,,01/01/2020,,,,"$1,387.20",,,,,,"125 Sussex Dr, 2nd Floor,TwrA, ISIC Room (Global A",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,100174-Preaction System,17-1569-REV,AI,,100174,,,,01/01/2020,,,,"$3,162.00",,,,,,"125 Sussex Dr, 2nd Floor,TwrA, ISIC Room (Global A",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,100174-Preaction System,17-1340JP,AI,,100174,,,,01/01/2020,,,,"$3,162.00",,,,,,"125 Sussex Drive, AG Server Rooms-Qty 20 (Shared S",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,100174-Preaction System,17-1340JP,SAI,,100174,,,,01/01/2020,,,,"$3,162.00",,,,,,"125 Sussex Drive, AG Server Rooms-Qty 20 (Shared S",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
