Find,Replace
ELU,EL
h,H
Backflow,BF
BFP,BF
Boosters,BOOSTER
Booster,BOOSTER
Burglary,BURGULAR
Burglar,BURGULAR
Burgular,BURGULAR
Exts,EXT
ExtinguisHing,EXT
Equipment,EQUIPMENT
equipment,EQUIPMENT
Equipment,EQUIPMENT
FEs,FE
Fes,FE
Fe,FE
FPFT,FP
FPT,FP
Hydrants,HYD
Hydrant,HYD
HYDRANTS,HYD
Hdr,HYD
Hydr,HYD
HYDs,HYD
Hydants,HYD
Hydant,HYD
Hyds,HYD
Hyd,HYD
Stdpipe,STANDPIPE
Standpipe,STANDPIPE
Sprinkler,SPR
Sprklr,SPR
SPR,SPR
spr,SPR
Spr,SPR
Wet,WET
Dry,DRY
glycol,GLYCOL
Glycol,GLYCOL
Intrusion,INTRUSION
Elevator,ELEVATOR
Elevators,ELEVATOR
Preaction,PREACTION
Voice,VOICE
Curb boxes,CURB_BOX
Curb box,CURB_BOX
