Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Morguard Investments Ltd.-Sprinkler,20-1086-7BS,AI,,100022.0,238103- Base Bldg,2021-02-01,02/01/2020,2021-01-31,,,,0.0,,,,,"SPR,WET,DRY",1601 Telesat Court,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Morguard Investments Ltd.-Fire Alarm,20-1086-7BS,AI,,100022.0,238103- Base Bldg,2021-02-01,02/01/2020,2021-01-31,,,,0.0,,,,,"FA,EOL",1601 Telesat Court,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Morguard Investments Ltd.-Route,20-1086-7BS,AI,,100022.0,238103- Base Bldg,2021-02-01,02/01/2020,2021-01-31,,,,0.0,,,,,"EL,FHC,FLCS,EXT",1601 Telesat Court,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Bronson Centre-Fire Alarm,20-1999JD,AI,,100068.0,,2021-12-01,12/01/2020,2021-11-30,,,,1470.0,,,,,FA,211 Bronson Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Bronson Centre-Route,20-1999JD,AI,,100068.0,,2021-12-01,12/01/2020,2021-11-30,,,,1470.0,,,,,"EL,FHC",211 Bronson Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Pepsico Canada Beverages-Sprinkler,18-1400-5yr contract,MI,,NA,,2021-01-01,01/01/2018,2020-12-31,,,,540.0,,,,,"FP,SPR,WET",869 Belfast Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Pepsico Canada Beverages-Route,18-1400-5yr contract,MI,,NA,,2021-01-01,01/01/2018,2020-12-31,,,,540.0,,,,,"EL,FHC",869 Belfast Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CUPW-Sprinkler,19-1760,MI,,100046.0,,2021-01-01,01/01/2019,2020-12-31,,,,280.0,,,,,"SPR,DRY",377 Bank Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CUPW-Fire Alarm,19-1760,MI,,100046.0,,2021-01-01,01/01/2019,2020-12-31,,,,280.0,,,,,FA,377 Bank Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CUPW-Route,19-1760,MI,,100046.0,,2021-01-01,01/01/2019,2020-12-31,,,,280.0,,,,,"EL,FHC",377 Bank Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Shall May Holdings Ltd c/o Frastell Property Mgmt Inc.-Sprinkler,19-1191JP,AI,,NA,,2021-04-01,04/01/2019,2021-03-31,,,,3210.0,,,,,"FP,SPR",465 Richmond Road - Plaza Towers Apts.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Shall May Holdings Ltd c/o Frastell Property Mgmt Inc.-Fire Alarm,19-1191JP,AI,,NA,,2021-04-01,04/01/2019,2021-03-31,,,,3210.0,,,,,"FA,LSA,VOICE",465 Richmond Road - Plaza Towers Apts.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Shall May Holdings Ltd c/o Frastell Property Mgmt Inc.-Route,19-1191JP,AI,,NA,,2021-04-01,04/01/2019,2021-03-31,,,,3210.0,,,,,FHC,465 Richmond Road - Plaza Towers Apts.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canadian Nurses Association-Fire Alarm,19-1192JP,AI,,100244.0,,2021-04-01,04/01/2019,2021-03-31,,,,1075.0,,,,,FA,50 The Driveway,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canadian Nurses Association-Route,19-1192JP,AI,,100244.0,,2021-04-01,04/01/2019,2021-03-31,,,,1075.0,,,,,EL,50 The Driveway,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
