Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Manor Park Management Inc.-Monitoring Services  Fire DVAC,,MONITORING,,NA,,,,,,,,792.0,,,,,,225 Wilbrod Street - Sans Souci Apts.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Sleepwell Property Management-Monitoring Services  Fire Internet,,MONITORING,,NA,,,,,,,,960.0,,,,,,325 Clemow Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Monitoring,18-1286JP,AI,,NA,,,,,,,,655.0,,,,,FIRE,"120 Promenade du Portage, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,British High Commission-Monitoring Services  Fire,13-1008RS,MONITORING,,NA,,2021-02-01,02/01/2013,2021-01-31,,,,960.0,,,,,,140 Sussex Drive Commisioner Residence,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Monitoring,19-1427JP,AI,,NA,,2021-05-01,05/01/2019,2021-04-30,,,,2040.0,,,,,FIRE,1705-17 1719-49 St. Laurent AND 2220-34 Gladwin,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Richmond Heights Apartments-Monitoring Services  Fire DVAC,05-1436,MONITORING,,100201.0,,2021-11-01,11/01/2005,2021-10-31,,,,816.0,,,,,,2841 Richmond Road - Richmond Height Apts,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Convoy Supply Ltd.-Monitoring Services  FireINTRUSION,,MONITORING,,NA,,,,,,,,804.0,,,,,,220 Edmonton Blvd.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Bassi Construction, JB Holdings Inc.-Monitoring Services  Fire LandlineInternet",,MONITORING,,NA,,,,,,,,900.0,,,,,,53 Crichton Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"Bassi Construction Ltd., JB Holdings Inc.-Monitoring Services  Fire LandlineInternet",,MONITORING,,NA,,,,,,,,900.0,,,,,,59 Crichton Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Enterprises Gilles Lesage-Monitoring,15-1368MT,AI,,NA,,,,,,,,2450.0,,,,,FACP,214 Montreal Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
