Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Uniform Developments and Leasing Ltd.-Sprinkler,14-1225,AI,,NA,,,,,,,,750.0,,,,,"SPR,WET,GLYCOL",117 Centrepointe Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Uniform Developments and Leasing Ltd.-Fire Alarm,14-1225,AI,,NA,,,,,,,,750.0,,,,,FA,117 Centrepointe Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Uniform Developments and Leasing Ltd.-Route,14-1225,AI,,NA,,,,,,,,750.0,,,,,EL,117 Centrepointe Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,SNC Lavalin O&M Inc.-Sprinkler,12-1106,MI,,NA,,2021-01-01,01/01/2012,2020-12-31,,,,3447.92,,,,,"FP,WET",235 Queen Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,SNC Lavalin O&M Inc.-Route,12-1106,MI,,NA,,2021-01-01,01/01/2012,2020-12-31,,,,3447.92,,,,,"FE,FHC",235 Queen Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Manor Park Management Inc.-Monitoring Services  Fire DVAC,,MONITORING,,NA,,,,,,,,792.0,,,,,,225 Wilbrod Street - Sans Souci Apts.,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Sleepwell Property Management-Monitoring Services  Fire Internet,,MONITORING,,NA,,,,,,,,960.0,,,,,,325 Clemow Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Maxville Manor-Fire Alarm,20-1004JP,AI,,NA,,2021-01-01,01/01/2020,2020-12-31,,,,3883.0,,,,,FA,"80 Mechanic Street East, Maxville",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Maxville Manor-Route,20-1004JP,AI,,NA,,2021-01-01,01/01/2020,2020-12-31,,,,3883.0,,,,,"EL,FLCS,EXT","80 Mechanic Street East, Maxville",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Regional Group-Sprinkler,20-1233MT,AI,,NA,,2021-04-01,04/01/2020,2021-03-31,,,,1188.0,,,,,"SPR,WET,GLYCOL",1725 Woodward Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Regional Group-Fire Alarm,20-1233MT,AI,,NA,,2021-04-01,04/01/2020,2021-03-31,,,,1188.0,,,,,FA,1725 Woodward Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Regional Group-Route,20-1233MT,AI,,NA,,2021-04-01,04/01/2020,2021-03-31,,,,1188.0,,,,,"EL,FHC,EXT",1725 Woodward Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Prime Corp.-Fire Alarm,19-1189JP,AI,,NA,,2021-04-01,04/01/2019,2021-03-31,,,,595.0,,,,,FA,390 Irwin Miller Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Prime Corp.-Route,19-1189JP,AI,,NA,,2021-04-01,04/01/2019,2021-03-31,,,,595.0,,,,,EL,390 Irwin Miller Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Prime Corp.-Fire Alarm,19-1189JP,AI,,NA,,2021-04-01,04/01/2019,2021-03-31,,,,595.0,,,,,FA,388 Irwin Miller Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Prime Corp.-Route,19-1189JP,AI,,NA,,2021-04-01,04/01/2019,2021-03-31,,,,595.0,,,,,EL,388 Irwin Miller Street,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,PrimeCorp-Sprinkler,19-1189JP,AI,,,,2021-04-01,04/01/2019,2021-03-31,,,,1425.0,,,,,"SPR,WET,DRY",61 McEwen Avenue - McEwen Towers,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
