Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Connelly Properties-Sprinkler,10-1364,AI,,NA,,,,,,,,1190.0,,,,,"SPR,WET",2487 Kaladar Avenue,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Connelly Properties-Route,10-1364,AI,,NA,,,,,,,,1190.0,,,,,EL,2487 Kaladar Avenue,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Connelly Properties-Sprinkler,10-1364,AI,,NA,,,,,,,,1190.0,,,,,"HYD,SPR,DRY",2491 Kaladar Avenue,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Connelly Properties-Route,10-1364,AI,,NA,,,,,,,,1190.0,,,,,EL,2491 Kaladar Avenue,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Connelly Properties-Sprinkler,10-1364,AI,,NA,,,,,,,,1190.0,,,,,"SPR,WET",2481 Kaladar Ave,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Connelly Properties-Route,10-1364,AI,,NA,,,,,,,,1190.0,,,,,"EL,FHC",2481 Kaladar Ave,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-FM Suppression System,18-1046C,SAI,,NA,,,,,,,,,,,,,,"1601 Telesat, 3rd Floor, CPA",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-FM Suppression System,18-1046C,AI,,NA,,,,,,,,2040.0,,,,,,"1601 Telesat, 3rd Floor, CPA",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,13-1744-REV,AI,,NA,,,,,,,,6350.0,,,,,"FP,SPR,WET,GLYCOL",155 Queen Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Fire Alarm,13-1744-REV,AI,,NA,,,,,,,,6350.0,,,,,FA,155 Queen Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Route,13-1744-REV,AI,,NA,,,,,,,,6350.0,,,,,"FE,FHC",155 Queen Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nav Canada-Route,18-0212-0001BS,SAI,,,,,,,,,,0.0,,,,,"EL,FLCS",280 Hunt Club Road,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Connelly Properties-Sprinkler,,AI,,NA,,,,,,,,0.0,,,,,HYD,2491 Kaladar Avenue,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Sprinkler,15-1097,AI,,NA,,,,,,,,12900.0,,,,,"FP,SPR,WET,DRY,GLYCOL",131 Queen Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Morguard Investments Limited-Fire Alarm,15-1097,AI,,NA,,,,,,,,12900.0,,,,,"FA,VOICE",131 Queen Street,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
