Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Campus Living Centres Inc. (1eleven Cooper) INVOICE CA/CS OTTAWA PROPERTY OWNER-Sprinkler,19-1401,MI,,NA,,,,01/01/2022,,,,0,,,,,SPR,111 Cooper Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Campus Living Centres Inc. (1eleven Cooper) INVOICE CA/CS OTTAWA PROPERTY OWNER-Fire Alarm,19-1401,MI,,NA,,,,01/01/2022,,,,0,,,,,"FA,VOICE",111 Cooper Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Campus Living Centres Inc. (1eleven Cooper) INVOICE CA/CS OTTAWA PROPERTY OWNER-Sprinkler,19-1401,AI,,NA,,,,01/01/2022,,,,"$7,260.00",,,,,"FP,BF,SPR,WET",111 Cooper Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Campus Living Centres Inc. (1eleven Cooper) INVOICE CA/CS OTTAWA PROPERTY OWNER-Fire Alarm,19-1401,AI,,NA,,,,01/01/2022,,,,"$7,260.00",,,,,"FA,LSA,MPS,EOL,VOICE",111 Cooper Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Campus Living Centres Inc. (1eleven Cooper) INVOICE CA/CS OTTAWA PROPERTY OWNER-Route,19-1401,AI,,NA,,,,01/01/2022,,,,"$7,260.00",,,,,"FE,FHC",111 Cooper Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Route,17-1571,SAI,,100174,,,,01/01/2022,,,,$453.65,,,,,FLCS,"125 Sussex Drive, A9",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,BGIS-Route,17-1571,AI,,100174,,,,01/01/2022,,,,$453.65,,,,,FLCS,"125 Sussex Drive, A9",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Skyline Commercial Real Estate Holdings Inc.-Sprinkler,,AI,,100121,,,,01/01/2022,,,,$0.00,,,,,SPR,1283 Algoma Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,Skyline Commercial Real Estate Holdings Inc.-Fire Alarm,,AI,,100121,,,,01/01/2022,,,,$0.00,,,,,FA,1283 Algoma Road,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
,,,111007 Inc.-Sprinkler,20-1379MT,AI,,NA,,,,01/01/2022,,,,$465.00,,,,,"SPR,WET",1379 Bank Street,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,
