,IGNORE LIST
0,1604 MICHAEL STREET
1,168 SUSHI BUFFET
2,168012 CA INC.
3,1SOURCE BUSINESS SOLUTIONS
4,2012690 ON INC
5,2078369 ON INC.
6,2121380 ON INC.
7,359 RIVER ROAD
8,378-380 RICHMOND ROAD
9,77 METCALFE LP II
10,91255216 QUE INC.
11,A PLUS ELECTRIC
12,AASTAR ELECTRICAL SERVICES INC.
13,ACCULIFT FLOORING SYSTEMS
14,ACTION PLUG PHYSION THERAPY
15,ACTIVOX ELECTRONIC LTD.
16,ADT
17,ADVANCE MESSAGE THERAPY
18,A-FSC INC.
19,AGRICULTURE AND AGRI-FOOD CA
20,AIM RECYCLING OTTAWA EAST
21,AIM RECYCLING OTTAWA WEST
22,AK GLOBAL CONSTRUCTION & DEVELOPMENT INC.
23,ALCO FIRE PROTECTION
24,ALERT FIRE PROTECTION
25,ALL STAR CONSTRUCTION
26,ALL STREAM
27,ALLARD'S COLLISION CENTRES
28,ALLSTAR COLLISION CENTRE
29,ALPHA ELECTRIQUE
30,AMBASSADOR REALTY INC.
31,ANDERSON FIRE PROTECTION
32,ANEW ELECTRICAL
33,ARC ELECTRICAL
34,ARCAMM FIRE PROTECTION LTD.
35,ARCRITE NORTHERN LTD.
36,ARCTURUS REALTY CORP
37,ARMAND LAVIGNE INC.
38,ASSEMBLEE EVANGELIEQUE DE L'ARRIERE-SAISON D'OTTAW
39,ATCO FRONTEC
40,ATTACHÉ  APARTMENTS
41,AXIA PROPERTY MANAGEMENT (CCC 516)
42,BANK OF MONTREAL
43,BANK OF MONTREAL
44,BARRY'S ELECTRIC
45,BAYCADD SOLUTIONS INC.
46,BCM ELECTRICAL SERVICES INC.
47,BDO CANADA LLP
48,BELCAM DOORS
49,BENTALL REAL ESTATE SERVICES LP
50,BGIS C/O BGIS O&M SOLUTIONS INC.
51,BKC MECHANICAL SERVICE INC.
52,BLACK ELECTRIC
53,BLJC - EDS CONTRACT
54,BLJC - OTTAWA TECHNOLOGY CENTRE
55,BLJC C/O HP CONTRACT
56,BLJC-CPC
57,BOLDT THEILE INC.
58,"BONN, JONAH"
59,"BON-O-CLAIR INC.,"
60,BOTTOM LINE SECURITY SOLUTIONS
61,BOUCLAIR
62,BOUCLAIR INC.
63,BRES LP ITF 2001 BANTREE ROAD
64,BROMUN CONSTRUCTION
65,BRONSON PLACE
66,BROOKFIELD  JOHNSON CONTROLS
67,BROOKFIELD LEPAGE JOHNSON CONTROLS.
68,BROOKFIELD PROPERTIES CORPORATION
69,"BROWN, ALAN"
70,BRUNET AND ASSOCIATES CA INC.
71,BTB-8285560 CANADA INC.
72,CA TRUST
73,CALL-NET TECHNOLOGY SVCS INC.
74,CAMPBELL AND KENNEDY ELECTRIC OTTAWA LIMITED
75,CANADA HBS-HONEYWELL INT'L
76,CANADIAN BORDER SERVICES AGENCY
77,CANADIAN COUNCIL ON HEALTH
78,CANADIAN FOOD INSPECTION SERVICES
79,CANADIAN FORCES SUPPORT UNIT OTTAWA
80,CAPITAL AIR CONDITIONING
81,CAPITAL FIRE PROTECTION
82,CAPITAL FIRE PROTECTION INC.
83,CARLETON SECURITY
84,CARLING BUS. CENTRE
85,CARLING REALTY CO. LTD.
86,CARRIER ENTERPRISE CA L.P.
87,CARTHOS SERVICES LP
88,CATAM ENTERPRISE INC.
89,CATSA OTTAWA HEADQUARTERS
90,CENTURION CONFERENCE & EVENT CENTER
91,CHAMOUN AUTO SALES
92,CHARMAU ÉLECTRIQUE INC.
93,CHARTWELL MCCONNEL MANOR RETIREMENT RESIDENCE
94,CHATEAU CARTIER RELAIS GOLF & SPA
95,CHATEAU LAFAYETTE
96,CHILDREN'S AID SOCIETY
97,CHSLD CHAMPLAIN GATINEAU
98,CHSLD DE HULL
99,CITY WYE'D ELECTRIC
100,CIV DAWN NOSEWORTHY
101,CKS CONSTRUCTION
102,CLASSIC FIRE PROTECTION INC.
103,COLLIERS INTERNATIONAL
104,COLONNADE BRIDGEPORT (40)
